LINK,NAME,LIKES,DISLIKES,LIKE RATIO,DIFFICULTY,Accepted,Submitted,Acceptance %
https://leetcode.com/problems/remove-invalid-parentheses,Remove invalid parentheses,1966,82,0.959960938,Hard,166979,403874,0.41
https://leetcode.com/problems/kth-smallest-number-in-multiplication-table,Kth smallest number in multiplication table,429,18,0.959731544,Hard,16870,38248,0.44
https://leetcode.com/problems/combination-sum-ii,Combination sum ii,1260,53,0.959634425,Medium,275359,612663,0.45
https://leetcode.com/problems/possible-bipartition,Possible bipartition,377,16,0.959287532,Medium,17750,42344,0.42
https://leetcode.com/problems/binary-tree-inorder-traversal,Binary tree inorder traversal,2304,98,0.959200666,Medium,597035,992755,0.6
https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,Reverse substrings between each pair of parentheses,187,8,0.958974359,Medium,10425,17714,0.59
https://leetcode.com/problems/binary-tree-preorder-traversal,Binary tree preorder traversal,1092,47,0.958735733,Medium,415267,775368,0.54
https://leetcode.com/problems/length-of-longest-fibonacci-subsequence,Length of longest fibonacci subsequence,534,23,0.958707361,Medium,22481,47309,0.48
https://leetcode.com/problems/lru-cache,Lru cache,4285,185,0.958612975,Medium,411190,1406819,0.29
https://leetcode.com/problems/recover-a-tree-from-preorder-traversal,Recover a tree from preorder traversal,300,13,0.958466454,Hard,13122,18940,0.69
https://leetcode.com/problems/maximum-product-subarray,Maximum product subarray,2982,131,0.957918407,Medium,272762,891598,0.31
https://leetcode.com/problems/longest-valid-parentheses,Longest valid parentheses,2635,116,0.957833515,Hard,240049,887246,0.27
https://leetcode.com/problems/subsets-ii,Subsets ii,1264,56,0.957575758,Medium,242162,540407,0.45
https://leetcode.com/problems/car-pooling,Car pooling,314,14,0.957317073,Medium,18686,32972,0.57
https://leetcode.com/problems/subtree-of-another-tree,Subtree of another tree,1698,76,0.957158963,Easy,161472,371317,0.43
https://leetcode.com/problems/n-queens,N queens,1357,61,0.956981664,Hard,173267,402214,0.43
https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best time to buy and sell stock,3687,166,0.956916688,Easy,678975,1385525,0.49
https://leetcode.com/problems/target-sum,Target sum,1855,84,0.9566787,Medium,126543,274095,0.46
https://leetcode.com/problems/distinct-subsequences-ii,Distinct subsequences ii,265,12,0.9566787,Hard,8224,20026,0.41
https://leetcode.com/problems/last-stone-weight-ii,Last stone weight ii,307,14,0.956386293,Medium,8907,21171,0.42
https://leetcode.com/problems/minimum-increment-to-make-array-unique,Minimum increment to make array unique,263,12,0.956363636,Medium,17829,39922,0.45
https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find first and last position of element in sorted array,2393,110,0.956052737,Medium,399425,1146948,0.35
https://leetcode.com/problems/letter-tile-possibilities,Letter tile possibilities,389,18,0.955773956,Medium,19255,25828,0.75
https://leetcode.com/problems/filling-bookcase-shelves,Filling bookcase shelves,364,17,0.955380577,Medium,9425,16444,0.57
https://leetcode.com/problems/max-area-of-island,Max area of island,1424,67,0.955063716,Medium,115720,192793,0.6
https://leetcode.com/problems/sum-of-distances-in-tree,Sum of distances in tree,591,28,0.954765751,Hard,10956,26066,0.42
https://leetcode.com/problems/shortest-unsorted-continuous-subarray,Shortest unsorted continuous subarray,1976,95,0.95412844,Easy,93801,306124,0.31
https://leetcode.com/problems/number-of-submatrices-that-sum-to-target,Number of submatrices that sum to target,248,12,0.953846154,Hard,7661,12764,0.6
https://leetcode.com/problems/tallest-billboard,Tallest billboard,246,12,0.953488372,Hard,5596,14438,0.39
https://leetcode.com/problems/valid-parentheses,Valid parentheses,3887,191,0.953163315,Easy,807021,2132663,0.38
https://leetcode.com/problems/sort-list,Sort list,2030,101,0.952604411,Medium,224758,579275,0.39
https://leetcode.com/problems/reorganize-string,Reorganize string,863,43,0.952538631,Medium,45900,100394,0.46
https://leetcode.com/problems/subarray-product-less-than-k,Subarray product less than k,917,46,0.952232606,Medium,44963,117570,0.38
https://leetcode.com/problems/last-stone-weight,Last stone weight,318,16,0.952095808,Easy,35485,56754,0.63
https://leetcode.com/problems/contiguous-array,Contiguous array,970,49,0.951913641,Medium,51615,116063,0.44
https://leetcode.com/problems/leaf-similar-trees,Leaf similar trees,532,27,0.951699463,Easy,65754,101792,0.65
https://leetcode.com/problems/path-with-maximum-gold,Path with maximum gold,216,11,0.95154185,Medium,13458,21532,0.63
https://leetcode.com/problems/palindromic-substrings,Palindromic substrings,1883,96,0.951490652,Medium,140622,239118,0.59
https://leetcode.com/problems/permutation-in-string,Permutation in string,921,47,0.951446281,Medium,70965,178231,0.4
https://leetcode.com/problems/binary-tree-right-side-view,Binary tree right side view,1544,79,0.951324707,Medium,221022,433517,0.51
